compiledgametime,playerid,xg
82.2,56711,0.252678192
90.9,108339,0.392448286
154.1,80,0.322434658
234.5,78625,0.261144607
236.3,79380,0.252038964
347.2,94531,0.253509001
354.2,111452,0.51081028
512.5,82048,0.390949199
512.6,20161,0.26779254
30.733334,94531,0.002939096
38.633335,109964,0.072824143
79.433334,884,0.037817329
111.13333,1462,0.007172304
131.7,109964,0.002619482
146.36667,20775372,0.003354501
186.56667,20775372,0.13200514
236.93333,81408,0.0720746
306.9,81408,0.01049627
377.3,111452,0.137232855
424.06668,5814,0.020754542
429,6588,0.011676935
639.8,79380,0.010269571
645.06665,79380,0.021211753
741.0333,112050,0.006137403
827.56665,1731661,0.051470704
879.6,79380,0.013688004
881.26666,400162,0.011720903
895.8333,81408,0.086265996
952.6,79380,0.02559595
955.9667,1731661,0.002041818
981.26666,81408,0.047727775
995.8,126723,0.087053612
1072.4333,109964,0.068472028
1079,111452,0.100935318
1093.6333,6588,0.023612693
1120.5667,111452,0.160783917
1124.6333,6588,0.081759602
1194.1666,112050,0.00833646
1208.2,109964,0.201196134
1216.7333,179172,0.063544586
1285.0667,94531,0.00745819
1326.4667,82048,0.027807795
1369.6,370192,0.047423191
1380.4333,446706,0.00587876
1401.8667,20775372,0.00616441
1427.6666,112050,0.076269127
1440.4333,94531,0.013616813
1469.5667,370192,0.033909503
1489.1666,370192,0.035002913
1501.7667,94531,0.015322031
1649.9333,80518,0.018256892
1676.6,79380,0.027553795
1735.3334,81408,0.044769328
1762.6333,884,0.030257743
1788.1,82048,0.031752229
1807.7333,884,0.013978787
1819.6,400162,0.004154142
1840.1,884,0.047874179
1885.2333,111452,0.017890221
1955.0667,110409,0.027948808
2007.2667,113401,0.113640219
2007.6,1731661,0.747712553
2027.2333,94531,0.01605748
2058.6,111452,0.010506472
2103.9,81408,0.02594408
2111.3,202206,0.012742507
2125.2334,370192,0.032597881
2128.6,112050,0.025689099
2181.4,112050,0.268313348
2201.3,237838,0.006795153
2222.6333,6588,0.030269835
2241.8,80,0.018114468
2247.0334,80,0.004898786
2268.8,79380,0.003587263
2277,20775372,0.002579872
2318.4,6588,0.008634299
2323.4,112050,0.047165822
2328.5667,108339,0.01238739
2365.6333,370192,0.093597651
2371.2666,6588,0.00314069
2399.3,80518,0.004230031
2464.5667,80518,0.071350545
2496.6333,109964,0.037383869
2504.2666,370192,0.118994668
2565.9333,80518,0.052068904
2569.2,179172,0.030994443
2587.4666,110856,0.020931393
2590.0667,56711,0.010988466
2648.4333,81408,0.312032104
2683.8333,126723,0.044686224
2735.3333,1731661,0.002500835
2777.8667,79380,0.001795616
2800.1667,202206,0.002874185
2849.6667,82048,0.015964657
2888.6,111452,0.022577291
2934.9,81408,0.060268726
2939.6,81408,0.064944908
2944.7334,79380,0.018795349
2953,81408,0.037620582
3039.8333,126723,0.020602632
3041.2,179172,0.128633574
3051.3333,370192,0.049930345
3072.7666,110409,0.014086106
3077.6667,446706,0.00273165
3081.8333,94531,0.007748737
3115.8667,370192,0.111075625
3152.5,400162,0.020746611
3172.9333,400162,0.001842715
3177.7,108339,0.002438285
3202.1,110409,0.025247898
3223.4,94531,0.005776028
3355.4666,20161,0.051444169
3397.5,111452,0.009029547
3401,1731661,0.011651632
3402.4333,237838,0.129963353
3416.1333,370192,0.022433827
3435.9,112050,0.180000737
3463.0667,82048,0.093578659
3486.0334,237838,0.050528567
3517.4,110409,0.190464914
3532.7,54915,0.059073459
3586.5,20161,0.00186608
3631.8,81408,0.060863931
3652.0667,81408,0.051919233
3675.7666,78625,0.040251497
3682.3333,78625,0.090814084
3698.1,81408,0.078794606
3705.8,79380,0.10054265
3742.1,81408,0.019536968
3821.4333,81408,0.068138622
3829.3,81408,0.065703139
3838.7666,81408,0.050909825
